,Unnamed: 0,id,name,price,mrp,variant,image_url,tags
0,0,SMPEPGKYW9GZWYVT, Clinic Plus Strong & Thick Health Shampoo, 179.0, 189.0, 340 ml, https://rukminim1.flixcart.com/image/280/280/jepzrm80/shampoo/y/v/t/340-strong-thick-health-shampoo-clinic-plus-original-imaf3chzdyutrjhs.jpeg,clinic plu strong & thick health shampoo 179.0 189.0 340 ml
1,1,BWSFH4YQYC9RSNZU, DOVE Deeply Nourishing Body Wash, 360.0, 360.0, 800 ml, https://rukminim1.flixcart.com/image/280/280/jwkzwy80/body-wash/n/z/u/800-deeply-nourishing-body-wash-dove-original-imafh8h4znbzrwk6.jpeg,dove deepli nourish bodi wash 360.0 360.0 800 ml
2,2,EDOEVT5UGZXJYAHU, EMAMI Healthy & Tasty Refined Rice Bran Oil Pouch, 167.0, 180.0, 1 L, https://rukminim1.flixcart.com/image/280/280/j98t0280/edible-oil/a/h/u/1-healthy-tasty-refined-pouch-rice-bran-oil-emami-original-imaez2wzhzuzcuyv.jpeg,emami healthi & tasti refin rice bran oil pouch 167.0 180.0 1 l
3,3,FLRETEFHF5EK5ECT, Tata Sampann Fine Besan, 19.0, 64.0, 500 g, https://rukminim1.flixcart.com/image/280/280/klscivk0/flour/s/g/p/fine-besan-besan-tata-sampann-original-imagytt7a29fp2ds.jpeg,tata sampann fine besan 19.0 64.0 500 g
4,4,BFRFVEHYQQMAZXKY, Colgate Vedshakti Mouth Protect Spray, 99.0, 99.0, 10 g, https://rukminim1.flixcart.com/image/280/280/kesv0y80/breath-freshener/x/k/y/10-61009781-colgate-original-imafvesczq42gwg8.jpeg,colgat vedshakti mouth protect spray 99.0 99.0 10 g
5,5,GHEF8H3BTFPX6HFD, Ananda Ghee 100 ml Carton, 51.0, 55.0, 100 ml Carton, https://rukminim1.flixcart.com/image/280/280/jqgy3rk0/ghee/h/f/d/100-na-carton-ananda-original-imafcgnjsqygusew.jpeg,ananda ghee 100 ml carton 51.0 55.0 100 ml carton
6,6,SATET96PTFPYSQWM, Tata Iodized Salt, 21.0, 21.0, 1 kg, https://rukminim1.flixcart.com/image/280/280/jq4353k0/salt/q/w/m/1-na-iodized-salt-tata-original-imafc7agxkbypvgr.jpeg,tata iodiz salt 21.0 21.0 1 kg
7,7,SMPF9HSZPAJQR8BW, DOVE Intense Repair Shampoo, 799.0, 799.0, 1 L, https://rukminim1.flixcart.com/image/280/280/kgtqhe80/shampoo/8/b/w/1-intense-repair-shampoo-dove-original-imafwyuvhxswznzn.jpeg,dove intens repair shampoo 799.0 799.0 1 l
8,8,NDLF4PEEBRZJ3KAY, Maggi Masala Instant Noodles Vegetarian, 133.0, 144.0, 12x70 g, https://rukminim1.flixcart.com/image/280/280/k40798w0/noodle/k/a/y/840-masala-instant-noodles-maggi-original-imafny8hdrgrm7jd.jpeg,maggi masala instant noodl vegetarian 133.0 144.0 12x70 g
9,9,FLRETEFHENWKNJQE, Pillsbury Chakki Fresh Atta, 1.0, 57.0, 1 kg, https://rukminim1.flixcart.com/image/280/280/kohigsw0/flour/j/f/a/chakki-fresh-atta-whole-wheat-flour-pillsbury-original-imag2xggzcbnrchc.jpeg,pillsburi chakki fresh atta 1.0 57.0 1 kg
